"external_id","duplicate_detection","external_name","manufacturer","category","last_update","qty_requested","created_date","source_file","import_date"
"SV30","? Unique","Hipp Spaghetti Bolognese 190g nach dem 5.Monat   (6)","","Atemwege & Ernährung","","30","","Product without substitute.csv","2026-05-25"
"NU36","? Unique","Nutrini Multifibre Pack 500ml   (12)","","Sonstige medizinische Produkte","","24","","Product without substitute.csv","2026-05-25"
"FT08","? Unique","Fortimel energy Multifibre 200ml Schoko   $   (6x4)","","Sonstige medizinische Produkte","","24","","Product without substitute.csv","2026-05-25"
"SV43","? Unique","Hipp Couscous mit Gemüse u. Bio-Hühnchen 220g ab 8.Monat   $  (6)","","Atemwege & Ernährung","","24","","Product without substitute.csv","2026-05-25"
"SV34","? Unique","Hipp Pasta Bambini-Gemüse-Lasagne 220g ab 10.Monat   (6)","","Atemwege & Ernährung","","24","","Product without substitute.csv","2026-05-25"
"SD78","? Unique","Hipp Pasta Bambini-Rigatoni Napoli 250g ab 12. Monat   (6)","","Atemwege & Ernährung","","24","","Product without substitute.csv","2026-05-25"
"SV93","? Unique","Hipp Gemüsereis mit Bio-Hühnchen 190g nach dem 5.Monat   (6)","","Atemwege & Ernährung","","24","","Product without substitute.csv","2026-05-25"
"FC03","? Unique","Fortimel compact Vanille  125ml  (4)   $","","Sonstige medizinische Produkte","","20","","Product without substitute.csv","2026-05-25"
"SG02","? Unique","Nestle Beba Expert HA Pre Pulver 550g   (6*)","","Sonstige medizinische Produkte","","18","","Product without substitute.csv","2026-05-25"
"SV94","? Unique","Hipp Reine Bio-Karotten 125g nach dem 4.Monat   (6)","","Atemwege & Ernährung","","18","","Product without substitute.csv","2026-05-25"
"FC02","? Unique","Fortimel compact Banane 125ml   (4)   $","","Sonstige medizinische Produkte","","16","","Product without substitute.csv","2026-05-25"
"DJ73","? Unique","Diben Neutral EasyBag 500ml   (15)","","Sonstige medizinische Produkte","","15","","Product without substitute.csv","2026-05-25"
"SX45","? Unique","Hipp 2 Bio Combiotik Pulver 600g   (4*)","","Atemwege & Ernährung","","14","","Product without substitute.csv","2026-05-25"
"SX70","? Unique","Humana 3, myPack, ab 10. Monat Pulver 750g   $","","Sonstige medizinische Produkte","","12","","Product without substitute.csv","2026-05-25"
"IP05","? Unique","Isosource 2.0 Protein Fibre","","Sonstige medizinische Produkte","","12","","Product without substitute.csv","2026-05-25"
"NU44","? Unique","NutriniMax Energy Multifibre Pack 500ml   (12)","","Sonstige medizinische Produkte","","12","","Product without substitute.csv","2026-05-25"
"MC00","? Unique","Nutricia MCT-Öl 500ml","","Atemwege & Ernährung","","12","","Product without substitute.csv","2026-05-25"
"SZ07","? Unique","Nestle Beba expert HA 1 Pulver 550g   (6)","","Sonstige medizinische Produkte","","11","","Product without substitute.csv","2026-05-25"
"NE28","? Unique","Neocate Infant Nutricia Pulver 400g   (6*)   $","","Atemwege & Ernährung","","9","","Product without substitute.csv","2026-05-25"
"FC15","? Unique","Fortimel compact Cappucino 125ml   (4)   $ dafür FC31","","Sonstige medizinische Produkte","","8","","Product without substitute.csv","2026-05-25"
"MA81","? Unique","MaltoCal 19 Dose Pulver 1500g","","Sonstige medizinische Produkte","","8","","Product without substitute.csv","2026-05-25"
"SG44","? Unique","Milupa Milchbrei Butterkeks-Biskuit 400g ab dem 6.Monat   (4*)","","Atemwege & Ernährung","","8","","Product without substitute.csv","2026-05-25"
"SX23","? Unique","Milupa Milchbrei Milde Früchte 400g ab dem 6.Monat   (4*)","","Atemwege & Ernährung","","8","","Product without substitute.csv","2026-05-25"
"SX40","? Unique","Milupa Aptamil AR Pulver 800g   (4*)","","Atemwege & Ernährung","","8","","Product without substitute.csv","2026-05-25"
"SX53","? Unique","Milupa Aptamil Pronutra 1 Pulver 800g   (6*)","","Atemwege & Ernährung","","7","","Product without substitute.csv","2026-05-25"
"RM01","? Unique","Resource Complete Pulver   (1)","","Sonstige medizinische Produkte","","5","","Product without substitute.csv","2026-05-25"
"FC04","? Unique","Fortimel compact Erdbeer  125ml  (4)   $ dafür FC32","","Sonstige medizinische Produkte","","4","","Product without substitute.csv","2026-05-25"
"SX20","? Unique","Milupa Milchbrei Vollkorn Früchte 400g nach dem 6. Monat   $   (4)  ","","Atemwege & Ernährung","","4","","Product without substitute.csv","2026-05-25"
"PS96","? Unique","ProvideXtra Apfel 200ml   $   (4)","","Sonstige medizinische Produkte","","4","","Product without substitute.csv","2026-05-25"
"PS95","? Unique","ProvideXtra Johannisbeere 200ml","","Sonstige medizinische Produkte","","4","","Product without substitute.csv","2026-05-25"
"NC03","? Unique","Neocate junior Pulver 400g   (6*)","","Sonstige medizinische Produkte","","2","","Product without substitute.csv","2026-05-25"
"SX64","? Unique","Milupa basic-f Pulver 300g   (1)","","Atemwege & Ernährung","","1","","Product without substitute.csv","2026-05-25"
"KE26","? Unique","Ketocal 3:1 Pulver (300g)","","Sonstige medizinische Produkte","","1","","Product without substitute.csv","2026-05-25"
"BB-053-LZ15-D01","? Unique","Vorlagen gro? 12x32cm mit Schutzfolie","","Inkontinenzversorgung","","15085","","Product without substitute.csv","2026-05-25"
"SE-091-BD15-DE0","? Unique","Vorlagen Hygiene 20x60 160892/6","","Inkontinenzversorgung","","780","","Product without substitute.csv","2026-05-25"
"SE-091-BD20-CZ0","? Unique","Vorlagen Hygiene Molinea 20x 40 PL-D","","Inkontinenzversorgung","","3360","","Product without substitute.csv","2026-05-25"
"ULTRASRBE6191","? Unique","Trokenunterlage Ultrasaob 6191 Safetex","","Inkontinenz & Hygiene","","60648","","Product without substitute.csv","2026-05-25"
"142272","? Unique","Laken 78x210cm, Tragelaken Basic, fadenverstärkt","","Sonstige medizinische Produkte","","18200","","Product without substitute.csv","2026-05-25"
"102200D","? Unique","Zellstoff 20x20xm 5kg Beutel (Desinfektionstücher Fläche)","","Desinfektion & Hygiene","","65","","Product without substitute.csv","2026-05-25"
"10-03-000-K050","? Unique","SLIP HELIO Ultra Light Classic Netzhose Gr. L [10-03-000-K050] #","","Inkontinenzversorgung","","36000","","Product without substitute.csv","2026-05-25"
"5307215090","? Unique","URINBEUTEL 1,5l unsteril [5307215090] #","","Urologie & Drainage","","18500","","Product without substitute.csv","2026-05-25"
"751355","? Unique","URINBECHER ohne Deckel 125ml [75.1355] #","","Urologie & Drainage","","12000","","Product without substitute.csv","2026-05-25"
"992258","? Unique","SCHUTZUNTERLAGE Vala Protect 80x175 [992258] #","","Inkontinenz & Hygiene","","4800","","Product without substitute.csv","2026-05-25"
"703212100","? Unique","KATHETER-Frauen CH12 Einweg [0703212100] #","","Infusion & Katheter","","2700","","Product without substitute.csv","2026-05-25"
"123021","? Unique","KATHETER-Stopfen/Verschlußkonus [123021] #","","Infusion & Katheter","","2400","","Product without substitute.csv","2026-05-25"
"690120-H","? Unique","URINSAMMELSYSTEM UROSID 2000ml [690120-H] #","","Urologie & Drainage","","4800","2026-03-05","Product without substitute.csv","2026-05-25"
"10000097","? Unique","URINMESSGERÄT TIGA-Plus 500ml [10000097] #","","Urologie & Drainage","","1640","","Product without substitute.csv","2026-05-25"
"913073","? Unique","ZELLSTOFF 20x20cm ungebl. [913073] #","","Kompressen & Tupfer","","1440","","Product without substitute.csv","2026-05-25"
"761414","? Unique","URINBECHERDECKEL [76.1414] #","","Urologie & Drainage","","1000","","Product without substitute.csv","2026-05-25"
"642114","? Unique","KATHETER-Silikon CH14 [642114] #","","Infusion & Katheter","","2600","2026-03-05","Product without substitute.csv","2026-05-25"
"5307415090","? Unique","URINBEUTEL 1,5l steril [5307415090] # ","","Urologie & Drainage","","600","","Product without substitute.csv","2026-05-25"
"[77.580","? Unique","URINSAMMELFLASCHE [77.580] #","","Urologie & Drainage","","360","","Product without substitute.csv","2026-05-25"
"709114200","? Unique","KATHETER-Tiemann CH14 Einweg [0709114200] #","","Infusion & Katheter","","300","","Product without substitute.csv","2026-05-25"
"L7050083","? Unique","URINFLASCHE Männer inkl. Deckel [L7050083] #","","Urologie & Drainage","","250","","Product without substitute.csv","2026-05-25"
"4500217","? Unique","KATHETER-Frauen CH14 Einweg [4500217] #","","Infusion & Katheter","","200","","Product without substitute.csv","2026-05-25"
"9245.18.040","? Unique","KATHETER-Rektal CH18 40cm [9245.18.040] #","","Infusion & Katheter","","150","","Product without substitute.csv","2026-05-25"
"2014052","? Unique","KATHETER-Frauen CH08 Einweg [02014052] #","","Infusion & Katheter","","100","","Product without substitute.csv","2026-05-25"
"AA6118","? Unique","KATHETER-Silikon CH18 [AA6118] #","","Infusion & Katheter","","740","2026-03-05","Product without substitute.csv","2026-05-25"
"709112200","? Unique","KATHETER-Tiemann CH12 Einweg [0709112200] #","","Infusion & Katheter","","100","","Product without substitute.csv","2026-05-25"
"2310014212","? Unique","KATHETER-Latex CH12 5-15ml [2310014212] #","","Infusion & Katheter","","90","","Product without substitute.csv","2026-05-25"
"I9001","? Unique","URINFLASCHENHALTER ohne Kette [I9 001] #","","Urologie & Drainage","","75","","Product without substitute.csv","2026-05-25"
"AA6120","? Unique","KATHETER-Silikon CH20 [AA6120] #","","Infusion & Katheter","","50","","Product without substitute.csv","2026-05-25"
"204030","? Unique","Inkontinenz - Stecklaken 80x170 ","","Inkontinenzversorgung","","8250","","Product without substitute.csv","2026-05-25"
"30000645","? Unique","992259 Schutzlaken ValaProtect Special Eco 80cmx210cm HARTMANN","","Sonstige medizinische Produkte","","24700","","Product without substitute.csv","2026-05-25"
"30000561","? Unique","992258 Schutzlaken ValaProtect Special Eco 80x175cm HARTMANN","","Sonstige medizinische Produkte","","14800","","Product without substitute.csv","2026-05-25"
"30000568","? Unique","Wattestäbchen Belli/Bel Family   #1873248","","Kompressen & Tupfer","","13800","","Product without substitute.csv","2026-05-25"
"30000784","? Unique","Windeleinlagen Stramp  SGST 1   #1486101","","Inkontinenzversorgung","","3192","","Product without substitute.csv","2026-05-25"
"30002782","? Unique","Waschhandschuh ValaClean Soft  #9922421","","Handschuhe","","2450","","Product without substitute.csv","2026-05-25"
"30008598","? Unique","Wundauflage Atrauman Ag 10x10cm, HARTM #4995736","","Wundversorgung / Dressings","","1640","","Product without substitute.csv","2026-05-25"
"30000633","? Unique","Tischabdecktuch      150X175CM  #277548","","Inkontinenz & Hygiene","","1550","","Product without substitute.csv","2026-05-25"
"30000631","? Unique","258300 Instumententischbezug Foliodrape 80cmx145cm HARTMANN","","Sonstige medizinische Produkte","","1375","","Product without substitute.csv","2026-05-25"
"30000520","? Unique","Armschützer          #2583307","","Sonstige medizinische Produkte","","1000","","Product without substitute.csv","2026-05-25"
"30008597","? Unique","Wundauflage Atrauman Ag,  5x5cm, HARTM #499571","","Wundversorgung / Dressings","","900","","Product without substitute.csv","2026-05-25"
"30002035","? Unique","Mundspatel steril   # 478580","","Sonstige medizinische Produkte","","800","","Product without substitute.csv","2026-05-25"
"30008450","? Unique","277506 Foliodrape protect Abdecktuch 90x150cm nicht kleb. HARTMANN","","Inkontinenz & Hygiene","","800","","Product without substitute.csv","2026-05-25"
"30000215","? Unique","2583473 Foliodrape P115 10x50cm OP-Klebestreifen Tape HARTMANN","","Sonstige medizinische Produkte","","460","","Product without substitute.csv","2026-05-25"
"30000546","? Unique","9922512 ValaClean Einweg Handtücher perf. 22x30cm a.Rolle HARTMANN ","","Reinigung & Körperpflege","","393","","Product without substitute.csv","2026-05-25"
"30012923","? Unique","159004 MoliCare Bed Mat Eco 60x90cm 7 Trpf. Bettschutzeinlagen HARTMANN","","Inkontinenzversorgung","","300","","Product without substitute.csv","2026-05-25"
"30016829","? Unique","471749 Mundspatel Kunststoff steril HARTMANN","","Sonstige medizinische Produkte","","240","","Product without substitute.csv","2026-05-25"
"30000634","? Unique","9361511 Foliodrape Tischabdecktuch 150X100cm  HARTMANN","","Inkontinenz & Hygiene","","210","","Product without substitute.csv","2026-05-25"
"30016562","? Unique","5361100 Hydrocoll Classic Wundverband 5x5cm HARTMANN","","Wundversorgung / Dressings","","190","","Product without substitute.csv","2026-05-25"
"30017507","? Unique","4710010 Haut Klammerentferner Mediset metall 10cm steril PAULHARTMANN","","Sonstige medizinische Produkte","","143","","Product without substitute.csv","2026-05-25"
"30008610","? Unique","Wundauflage Hydrocoll,  5x5cm, HARTM #900740","","Wundversorgung / Dressings","","130","","Product without substitute.csv","2026-05-25"
"30000575","? Unique","913073 Pehazell ungebl. Zellstoff Lagenzellstoff 18,5x19cm geschnitten HARTMANN","","Kompressen & Tupfer","","50","","Product without substitute.csv","2026-05-25"
"30003495","? Unique","9388101 Abdecktuch Foliodrape 150x240cm HARTMANN","","Inkontinenz & Hygiene","","32","","Product without substitute.csv","2026-05-25"
"30000576","? Unique","913076 Pehazell ungebl. Zellstoff Lagenzellstoff 37x57cm ungeschnitten HARTMANN  ","","Kompressen & Tupfer","","21","","Product without substitute.csv","2026-05-25"
"30008832","? Unique","6092200 HydroClean cavity 4cm Wundkissen hydroaktiv  HARTMANN","","Wundversorgung / Dressings","","20","","Product without substitute.csv","2026-05-25"
"30017968","? Unique","413001 RespoSorb Silicon Border 10x10cm HARTMANN","","Wundversorgung / Dressings","","20","","Product without substitute.csv","2026-05-25"
"30017967","? Unique","413004 RespoSorb Silicon Border 16x26cm HARTMANN","","Wundversorgung / Dressings","","10","","Product without substitute.csv","2026-05-25"
"30000124","? Unique","Verb Schlauch- Stülpa 0R  #4271103","","Zubehör & Verbrauchsmaterial","","9","","Product without substitute.csv","2026-05-25"
"30000154","? Unique","370800 Tamponade 1cmx5m Tamponadenbinde steril HARTMANN","","Kompressen & Tupfer","","4","","Product without substitute.csv","2026-05-25"
"30000162","? Unique","9968573 Pur Zellin Tupferspender Spenderbox HARTMANN","","Kompressen & Tupfer","","4","","Product without substitute.csv","2026-05-25"
"30000940","? Unique","Verb Tamponade-Bin steril  2cm #3708018","","Kompressen & Tupfer","","0","","Product without substitute.csv","2026-05-25"
"30009444","? Unique","HydroClean cavity  4cm rund #6090020","","Wundversorgung / Dressings","","0","","Product without substitute.csv","2026-05-25"
"30010785","? Unique","Resposorb Sil Border 10x10cm #6851401","","Wundversorgung / Dressings","","0","","Product without substitute.csv","2026-05-25"
"30010818","? Unique","RespoSorb Sil Border 12,5x12,5cm #6851501","","Wundversorgung / Dressings","","0","","Product without substitute.csv","2026-05-25"
